source,event,acq_datetime,lat,lon,brightness,confidence,frp
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.42999,-83.76916,308.47,63,9.14
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.99059,-87.78706,306.66,60,5.32
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.96553,-88.41366,318.5,77,14.84
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.27407,-84.00266,303.47,44,4.94
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.87277,-82.40869,308.58,64,10.05
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.86815,-82.56509,309.88,57,11.62
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.18613,-84.38338,307.52,61,5.88
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.85741,-82.56796,309.2,61,11.01
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.85434,-82.55172,309.73,66,11.44
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.68462,-87.91612,305.31,53,4.49
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.68313,-87.90562,304.67,51,4.09
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.83591,-89.09353,306.57,47,4.72
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.83447,-89.08253,305.65,37,3.94
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.81049,-82.75485,310.53,67,12.47
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.64501,-82.25127,315.21,73,21.2
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.63398,-82.25417,318.14,76,27.45
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.81157,-90.05037,307.49,51,6.0
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.81008,-90.03847,313.61,68,11.15
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.06185,-85.57446,315.76,74,13.67
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.4186,-82.10438,310.76,66,15.7
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.04454,-94.51427,305.54,49,11.5
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.81161,-92.16839,323.22,80,31.85
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.81004,-92.1534,306.86,50,8.76
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.87719,-85.46198,320.97,79,18.46
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.87532,-85.45039,309.27,34,6.94
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.86799,-85.4641,321.71,80,19.48
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.77372,-85.39564,320.05,78,19.1
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.57272,-84.24986,311.7,68,9.86
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.25215,-88.92744,304.5,43,4.45
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.13431,-82.51084,308.91,60,8.99
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.09757,-82.3778,306.9,53,7.51
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.89784,-81.57381,322.5,79,46.0
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.20068,-83.77549,344.86,93,77.99
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.19818,-83.76136,309.02,62,8.17
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.10906,-90.38902,317.38,73,11.41
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.10759,-90.37717,315.76,71,9.51
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.89437,-82.66145,321.1,79,29.95
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.87876,-82.70007,315.47,73,19.83
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.87566,-82.68358,312.25,62,13.93
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.15071,-84.99247,321.5,79,21.77
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.99356,-84.24514,310.18,65,9.88
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.4514,-95.99211,321.26,78,56.43
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.99626,-91.94608,333.68,88,47.12
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.9947,-91.93195,308.78,29,8.1
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.60742,-82.80502,316.42,73,21.46
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.60432,-82.78858,314.73,71,18.76
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.25854,-86.71034,330.46,86,27.49
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.49136,-82.68439,311.06,64,13.94
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.81367,-84.57371,321.91,79,22.9
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.81298,-84.57961,311.85,26,9.43
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.97683,-85.74851,339.07,91,46.86
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.44747,-82.70116,328.07,84,47.07
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.44434,-82.68436,316.69,73,22.33
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.96764,-85.7506,307.77,59,6.88
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.48537,-82.96722,312.11,66,14.49
